flight_id,flight_day,flight_status,delay_minutes,delay_reason,num_crew,num_supplier,delay_cost,cost_per_minute
FL1013,2025-07-22,delayed,17,supplier,1,1,9004.56,529.68
FL1116,2025-06-15,delayed,28,supplier,1,1,2272.48,81.16
FL1165,2025-06-22,delayed,10,supplier,1,1,824.9,82.49
FL1183,2025-04-29,delayed,60,weather,1,1,900.0,15.0
FL1214,2025-05-18,delayed,26,supplier,1,1,2809.3,108.05
FL1263,2025-07-17,delayed,61,crew,1,1,1304.18,21.38
FL1270,2025-05-24,delayed,100,weather,1,1,1500.0,15.0
FL1299,2025-06-21,delayed,194,weather,1,1,2910.0,15.0
FL1329,2025-06-17,delayed,56,weather,1,1,840.0,15.0
FL1350,2025-07-07,delayed,17,supplier,1,1,1264.29,74.37
FL1370,2025-06-23,delayed,43,supplier,1,1,3631.35,84.45
FL1417,2025-05-24,delayed,221,weather,1,1,3315.0,15.0
FL1443,2025-06-06,delayed,17,supplier,1,1,1351.16,79.48
FL1444,2025-06-04,delayed,45,weather,1,1,675.0,15.0
FL1450,2025-05-20,delayed,37,crew,1,1,867.28,23.44
FL1464,2025-06-02,delayed,41,supplier,1,1,2858.52,69.72
FL1510,2025-05-23,delayed,127,weather,1,1,1905.0,15.0
FL1523,2025-04-28,delayed,65,crew,1,1,1390.35,21.39
FL1529,2025-05-07,delayed,41,supplier,1,1,14138.85,344.85
FL1532,2025-06-23,delayed,115,supplier,1,1,31268.5,271.9
FL1622,2025-06-07,delayed,42,supplier,1,1,2080.26,49.53
FL1681,2025-04-28,delayed,39,crew,1,1,1055.34,27.06
FL1724,2025-07-02,delayed,235,weather,1,1,3525.0,15.0
FL1771,2025-06-03,delayed,79,crew,1,1,2102.19,26.61
FL1832,2025-06-29,delayed,15,crew,1,1,610.2,40.68
